ph_measurement;Temperature;Soil_Humidity;Electrical_conductivity(uS/cm);Target;
4,5;20;52;1,9;2;
10,8;23,3;93,6;3,7;0;
13,2;21,8;30,4;2,7;2;
12,3;29;34,4;2,5;1;
0,6;25,7;53,2;4,5;1;
6,3;22,7;91,6;5,7;0;
0,3;17;82,8;1,9;0;
4,2;27,5;20,8;3,9;1;
12,6;28,1;94,4;4,5;0;
3;29,3;38;4,5;1;
0,3;25,1;88;3,9;0;
9,3;22,7;61,2;2,9;2;
10,2;25,7;7,6;3,7;1;
12;17,6;16;5,9;1;
13,8;27,5;28;3,3;2;
10,8;29,3;57,2;5,5;1;
1,5;31,4;77,6;3,7;0;
6,3;26,3;19,6;5,7;1;
4,5;24,8;85,2;1,3;0;
0,9;26,3;26,8;6,1;1;
4,5;22,4;49,6;5,1;1;
7,5;30,5;54;5,5;1;
11,1;31,7;73,6;4,5;0;
8,4;26;35,6;4,1;1;
6,3;31,7;54,8;4,1;1;
6,3;26,6;79,2;3,5;0;
1,8;32,3;9,2;3,7;1;
5,7;28,1;9,6;5,9;1;
1,5;31,4;1,6;5,1;1;
1,2;19,4;72,4;5,3;0;
0,3;27,8;28,8;1,9;2;
10,5;25,7;72,4;4,5;0;
11,4;25,1;51,2;1,1;2;
3,9;17,6;34;1,3;2;
6,6;32,6;42;3,9;1;
11,7;29;24;2,5;1;
11,7;23,3;59,2;5,1;1;
7,5;23,6;75,2;4,9;0;
3,6;31,4;28,8;6,1;1;
8,4;21,8;44,4;1,3;2;
1,8;25,4;44,4;2,5;2;
3,9;29,9;61,6;3,3;1;
13,5;19,1;26;5,7;1;
10,8;26,9;30,4;1,5;2;
13,5;19,4;45,6;3,9;1;
9,9;29,3;67,6;3,7;1;
12,9;19,1;89,2;1,1;0;
9;29;44;3,5;1;
13,5;25,1;13,2;6,1;1;
0,9;31,7;54;6,1;1;
5,7;26;9,2;1,3;2;
5,1;31,7;20,8;5,7;1;
7,2;29;24;5,9;1;
8,1;30,8;38,4;1,3;1;
5,4;28,4;98,8;1,5;0;
2,4;20,6;21,6;4,9;1;
9,6;29,3;79,6;4,7;0;
3,6;31,4;28,8;6,1;1;
1,8;27,8;68;1,5;2;
0,6;32,3;8,4;4,1;1;
11,1;31,1;86,8;1,1;0;
4,2;20;66;3,5;2;
2,1;28,4;17,2;4,9;1;
3;20,9;89,2;4,7;0;
3,3;27,8;56;1,9;2;
2,4;29,9;4;5,3;1;
13,2;27,5;63,6;5,7;1;
13,2;26,3;97,2;4,5;0;
5,4;19,4;76,8;2,1;0;
5,7;27,5;34,4;1,1;2;
3,9;32,9;78,4;1,1;0;
